application	activity	logged
808841	Offer was confirmed: ['Conditionally accepted']	2025-05-31T11:14:52Z
808841	Invoice was issued	2025-05-31T11:14:53Z
808841	Invoice was edited	2025-05-31T11:15:08Z
808841	Applicant decision: ['None']	2025-05-31T11:15:22Z
808841	Offer was edited: ['Scholarship']	2025-05-31T11:15:22Z
808841	Offer was confirmed: ['Scholarship']	2025-05-31T11:15:22Z
808841	Invoice was edited	2025-05-31T12:29:12Z
808841	Applicant decision: ['Final']	2025-08-21T11:05:35Z
808841	Offer was edited: ['Scholarship']	2025-08-21T11:05:35Z
808841	Offer was confirmed: ['Scholarship']	2025-08-21T11:05:35Z
808841	Applicant decision: ['None']	2025-08-22T14:25:28Z
808841	Offer was edited: ['Accepted']	2025-08-22T14:25:28Z
808841	Offer was confirmed: ['Accepted']	2025-08-22T14:25:28Z
808841	Invoice was deleted	2025-09-19T10:21:24Z
808841	Invoice was issued	2025-09-19T10:28:49Z
809851	Application was flagged	2025-04-24T12:40:55Z
809851	Invoice was deleted	2025-04-24T12:41:22Z
809851	Application was flagged	2025-04-24T12:41:55Z
809851	Application was flagged	2025-04-30T10:38:24Z
809851	Offer was edited: ['Feedback']	2025-05-10T12:59:10Z
809851	Offer was confirmed: ['Feedback']	2025-05-10T12:59:10Z
809851	Offer was edited: ['Feedback']	2025-05-10T12:59:40Z
809851	Offer was confirmed: ['Feedback']	2025-05-10T12:59:40Z
809851	Offer was edited: ['Feedback']	2025-05-10T12:59:47Z
809851	Offer was confirmed: ['Feedback']	2025-05-10T12:59:47Z
809851	Course was added to application	2025-05-13T09:47:27Z
809851	Application was edited	2025-05-13T09:47:33Z
809851	Course was removed from application	2025-05-13T09:47:33Z
809851	Course was removed from application	2025-05-13T09:47:36Z
809851	Applicant decision: ['None']	2025-05-13T09:48:32Z
809851	Offer was edited: ['Conditionally accepted']	2025-05-13T09:48:32Z
809851	Offer was confirmed: ['Conditionally accepted']	2025-05-13T09:48:32Z
809851	Invoice was issued	2025-05-13T09:48:32Z
809851	Applicant decision: ['None']	2025-05-13T09:49:31Z
809851	Offer was edited: ['Conditionally accepted']	2025-05-13T09:49:31Z
809851	Offer was confirmed: ['Conditionally accepted']	2025-05-13T09:49:31Z
809851	Invoice was edited	2025-05-13T09:49:58Z
809851	Interview was evaluated	2025-05-13T09:50:12Z
809851	Application was un-flagged	2025-05-16T11:24:51Z
809851	Interview was evaluated	2025-05-28T14:42:50Z
809851	Invoice was edited	2025-05-31T12:44:15Z
809851	Applicant decision: ['None']	2025-05-31T12:44:44Z
809851	Offer was edited: ['Scholarship']	2025-05-31T12:44:44Z
809851	Offer was confirmed: ['Scholarship']	2025-05-31T12:44:44Z
809851	Applicant decision: ['Declined']	2025-08-13T13:48:53Z
809851	Offer was edited: ['Other']	2025-08-13T13:48:53Z
809851	Applicant decision: ['Declined']	2025-08-13T13:48:58Z
809851	Offer was edited: ['Other']	2025-08-13T13:48:58Z
807694	Application was flagged	2025-04-03T15:05:37Z
807694	Invoice was collected	2025-04-04T09:30:44Z
807694	Invoice was collected in full	2025-04-04T09:30:44Z
807694	Interview was evaluated	2025-04-12T10:54:30Z
807694	Interview was evaluated	2025-05-07T12:58:44Z
807694	Applicant decision: ['None']	2025-06-03T13:35:51Z
807694	Offer was edited: ['Scholarship']	2025-06-03T13:35:52Z
807694	Offer was confirmed: ['Scholarship']	2025-06-03T13:35:52Z
807694	Applicant decision: ['None']	2025-06-03T13:37:56Z
807694	Offer was edited: ['Conditionally accepted']	2025-06-03T13:37:56Z
807694	Offer was confirmed: ['Conditionally accepted']	2025-06-03T13:37:56Z
807694	Invoice was issued	2025-06-03T13:37:56Z
807694	Invoice was deleted	2025-06-03T13:38:03Z
807694	Invoice was issued	2025-06-03T13:38:11Z
807694	Invoice was issued	2025-06-03T13:38:31Z
809926	Application was flagged	2025-04-24T10:47:46Z
809926	Interview was evaluated	2025-05-03T10:41:01Z
809926	Interview was evaluated	2025-05-14T10:34:44Z
809926	Offer was edited: ['Feedback']	2025-05-14T10:38:24Z
809926	Offer was confirmed: ['Feedback']	2025-05-14T10:38:24Z
809926	Applicant decision: ['None']	2025-05-23T15:15:28Z
809926	Offer was edited: ['Conditionally accepted']	2025-05-23T15:15:28Z
809926	Offer was confirmed: ['Conditionally accepted']	2025-05-23T15:15:28Z
809926	Invoice was issued	2025-05-23T15:15:29Z
809926	Invoice was edited	2025-05-23T15:15:39Z
809926	Offer was edited: ['Other']	2025-05-23T15:15:46Z
809926	Offer was edited: ['Other']	2025-05-23T15:15:50Z
809926	Applicant decision: ['None']	2025-06-03T09:41:21Z
809926	Offer was edited: ['Scholarship']	2025-06-03T09:41:21Z
809926	Offer was confirmed: ['Scholarship']	2025-06-03T09:41:21Z
809926	Invoice was deleted	2025-06-03T09:42:09Z
809926	Invoice was issued	2025-06-03T09:42:17Z
809926	Invoice was issued	2025-06-03T09:42:40Z
809926	Applicant decision: ['None']	2025-06-03T09:44:06Z
809926	Offer was edited: ['Conditionally accepted']	2025-06-03T09:44:06Z
809926	Offer was confirmed: ['Conditionally accepted']	2025-06-03T09:44:06Z
808553	Application was flagged	2025-04-23T10:44:51Z
808553	Interview was evaluated	2025-05-01T15:06:56Z
808553	Interview was evaluated	2025-05-14T11:05:16Z
808553	Applicant decision: ['None']	2025-05-14T11:08:12Z
808553	Offer was edited: ['Conditionally accepted']	2025-05-14T11:08:12Z
808553	Offer was confirmed: ['Conditionally accepted']	2025-05-14T11:08:12Z
808553	Invoice was issued	2025-05-14T11:08:12Z
808553	Invoice was edited	2025-05-14T11:08:36Z
808553	Offer was edited: ['Other']	2025-05-14T11:08:46Z
808553	Offer was edited: ['Other']	2025-05-14T11:08:52Z
808553	Applicant decision: ['None']	2025-05-31T12:38:22Z
808553	Offer was edited: ['Scholarship']	2025-05-31T12:38:22Z
808553	Offer was confirmed: ['Scholarship']	2025-05-31T12:38:22Z
808553	Applicant decision: ['None']	2025-05-31T12:39:38Z
808553	Offer was edited: ['Conditionally accepted']	2025-05-31T12:39:38Z
808553	Offer was confirmed: ['Conditionally accepted']	2025-05-31T12:39:38Z
808553	Invoice was deleted	2025-05-31T12:39:44Z
808553	Invoice was issued	2025-05-31T12:39:52Z
808553	Application was flagged	2025-06-06T09:58:29Z
808553	Offer was edited: ['49']	2025-06-13T16:18:47Z
808553	Offer was confirmed: ['49']	2025-06-13T16:18:47Z
808553	Applicant decision: ['None']	2025-08-02T16:51:12Z
808553	Offer was edited: ['Accepted']	2025-08-02T16:51:12Z
808553	Offer was confirmed: ['Accepted']	2025-08-02T16:51:12Z
808553	Offer was edited: ['50']	2025-11-05T15:48:19Z
808553	Applicant decision: ['Final']	2025-11-05T15:48:59Z
808553	Offer was edited: ['50']	2025-11-05T15:48:59Z
808610	Application was flagged	2025-04-24T17:15:43Z
808610	Interview was evaluated	2025-05-09T15:51:50Z
808610	Interview was evaluated	2025-05-16T21:23:51Z
808610	Applicant decision: ['None']	2025-05-23T14:32:58Z
808610	Offer was edited: ['Conditionally accepted']	2025-05-23T14:32:58Z
808610	Offer was confirmed: ['Conditionally accepted']	2025-05-23T14:32:58Z
808610	Invoice was issued	2025-05-23T14:32:58Z
808610	Invoice was edited	2025-05-23T14:33:14Z
808610	Applicant decision: ['None']	2025-06-03T09:36:40Z
808610	Offer was edited: ['Scholarship']	2025-06-03T09:36:40Z
808610	Offer was confirmed: ['Scholarship']	2025-06-03T09:36:40Z
808610	Invoice was deleted	2025-06-03T09:36:54Z
808610	Invoice was issued	2025-06-03T09:37:13Z
808610	Invoice was issued	2025-06-03T09:38:45Z
808610	Applicant decision: ['None']	2025-06-03T09:40:32Z
808610	Offer was edited: ['Conditionally accepted']	2025-06-03T09:40:32Z
808610	Offer was confirmed: ['Conditionally accepted']	2025-06-03T09:40:32Z
809191	Application was flagged	2025-04-23T11:32:49Z
809191	Interview was evaluated	2025-05-03T10:28:16Z
809191	Application was flagged	2025-05-03T10:28:24Z
809191	Interview was evaluated	2025-05-10T08:59:49Z
809191	Applicant decision: ['None']	2025-05-10T10:26:10Z
809191	Offer was edited: ['Conditionally accepted']	2025-05-10T10:26:10Z
809191	Offer was confirmed: ['Conditionally accepted']	2025-05-10T10:26:10Z
809191	Invoice was issued	2025-05-10T10:26:10Z
809191	Invoice was edited	2025-05-10T10:26:25Z
809191	Application was un-flagged	2025-05-10T10:26:29Z
809191	Invoice was edited	2025-05-27T15:56:33Z
809191	Applicant decision: ['None']	2025-05-30T15:10:02Z
809191	Offer was edited: ['Scholarship']	2025-05-30T15:10:02Z
809191	Offer was confirmed: ['Scholarship']	2025-05-30T15:10:02Z
809191	Applicant decision: ['Final']	2025-05-30T15:12:05Z
809191	Offer was edited: ['Conditionally accepted']	2025-05-30T15:12:05Z
809191	Offer was confirmed: ['Conditionally accepted']	2025-05-30T15:12:05Z
809191	Invoice was deleted	2025-05-30T15:13:24Z
809191	Invoice was issued	2025-05-30T15:13:41Z
809191	Application was flagged	2025-06-03T15:11:02Z
809191	Offer was edited: ['49']	2025-06-06T11:28:11Z
809191	Offer was confirmed: ['49']	2025-06-06T11:28:12Z
809191	Applicant decision: ['None']	2025-08-01T16:49:51Z
809191	Offer was edited: ['Accepted']	2025-08-01T16:49:51Z
809191	Offer was confirmed: ['Accepted']	2025-08-01T16:49:51Z
808541	Application was flagged	2025-05-13T15:59:58Z
808541	Interview was evaluated	2025-05-14T12:24:15Z
808541	Application was flagged	2025-05-24T12:25:23Z
808541	Interview was evaluated	2025-05-29T20:22:03Z
808541	Applicant decision: ['None']	2025-06-06T09:38:10Z
808541	Offer was edited: ['Conditionally accepted']	2025-06-06T09:38:10Z
808541	Offer was confirmed: ['Conditionally accepted']	2025-06-06T09:38:10Z
808541	Invoice was issued	2025-06-06T09:38:10Z
808541	Invoice was edited	2025-06-06T09:38:24Z
808541	Applicant decision: ['None']	2025-06-06T09:38:35Z
808541	Offer was edited: ['Scholarship']	2025-06-06T09:38:35Z
808541	Offer was confirmed: ['Scholarship']	2025-06-06T09:38:36Z
807866	Application was flagged	2025-02-11T14:07:12Z
807866	Interview was evaluated	2025-02-22T11:13:44Z
807866	Application was flagged	2025-03-11T15:56:30Z
807866	Application was un-flagged	2025-04-03T11:17:02Z
807866	Applicant decision: ['None']	2025-04-03T14:59:17Z
807866	Offer was edited: ['Conditionally accepted']	2025-04-03T14:59:17Z
807866	Offer was confirmed: ['Conditionally accepted']	2025-04-03T14:59:17Z
807866	Invoice was issued	2025-04-03T14:59:17Z
807866	Invoice was edited	2025-04-03T15:00:17Z
807866	Interview was evaluated	2025-05-07T15:06:20Z
807866	Applicant decision: ['None']	2025-06-03T09:45:06Z
807866	Offer was edited: ['Scholarship']	2025-06-03T09:45:06Z
807866	Offer was confirmed: ['Scholarship']	2025-06-03T09:45:06Z
807866	Invoice was deleted	2025-06-03T09:45:24Z
807866	Invoice was issued	2025-06-03T09:45:32Z
807866	Invoice was issued	2025-06-03T09:45:51Z
807866	Applicant decision: ['Final']	2025-06-03T09:47:24Z
807866	Offer was edited: ['Conditionally accepted']	2025-06-03T09:47:24Z
807866	Offer was confirmed: ['Conditionally accepted']	2025-06-03T09:47:24Z
807866	Applicant decision: ['Final']	2025-09-27T09:49:38Z
807866	Offer was edited: ['50']	2025-09-27T09:49:38Z
807717	Application was flagged	2025-02-11T14:04:35Z
807717	Interview was evaluated	2025-02-19T16:45:13Z
807717	Application was flagged	2025-03-07T15:29:00Z
807717	Application was flagged	2025-03-07T15:29:33Z
807717	Applicant decision: ['None']	2025-03-11T15:21:09Z
807717	Offer was edited: ['Conditionally accepted']	2025-03-11T15:21:09Z
807717	Offer was confirmed: ['Conditionally accepted']	2025-03-11T15:21:09Z
807717	Invoice was issued	2025-03-11T15:21:09Z
807717	Invoice was edited	2025-03-11T15:21:33Z
807717	Application was un-flagged	2025-03-11T15:23:56Z
807717	Interview was evaluated	2025-05-07T14:37:50Z
807717	Applicant decision: ['None']	2025-06-05T11:17:27Z
807717	Offer was edited: ['Scholarship']	2025-06-05T11:17:27Z
807717	Offer was confirmed: ['Scholarship']	2025-06-05T11:17:27Z
807717	Invoice was deleted	2025-06-05T11:17:36Z
807717	Invoice was issued	2025-06-05T11:17:45Z
807717	Invoice was issued	2025-06-05T11:18:05Z
807717	Applicant decision: ['Final']	2025-06-05T11:19:16Z
807717	Offer was edited: ['Conditionally accepted']	2025-06-05T11:19:16Z
807717	Offer was confirmed: ['Conditionally accepted']	2025-06-05T11:19:16Z
807717	Applicant decision: ['Final']	2025-09-27T09:50:19Z
807717	Offer was edited: ['50']	2025-09-27T09:50:19Z
809430	Application was flagged	2025-04-18T12:41:28Z
809430	Interview was evaluated	2025-04-19T13:10:47Z
809430	Application was flagged	2025-04-30T16:23:42Z
809430	Applicant decision: ['None']	2025-05-10T09:41:07Z
809430	Offer was edited: ['Conditionally accepted']	2025-05-10T09:41:07Z
809430	Offer was confirmed: ['Conditionally accepted']	2025-05-10T09:41:07Z
809430	Invoice was issued	2025-05-10T09:41:07Z
809430	Invoice was edited	2025-05-10T09:41:24Z
809430	Invoice was edited	2025-05-13T11:27:27Z
809430	Interview was evaluated	2025-05-24T13:30:40Z
809430	Offer was edited: ['Failed']	2025-06-06T09:31:52Z
809430	Offer was confirmed: ['Failed']	2025-06-06T09:31:52Z
809430	Applicant decision: ['None']	2025-07-02T13:15:29Z
809430	Offer was edited: ['Scholarship']	2025-07-02T13:15:29Z
809430	Offer was confirmed: ['Scholarship']	2025-07-02T13:15:29Z
809430	Invoice was deleted	2025-07-02T13:15:46Z
809430	Invoice was issued	2025-07-02T13:16:19Z
809430	Offer was edited: ['49']	2025-07-09T11:27:03Z
809430	Offer was confirmed: ['49']	2025-07-09T11:27:03Z
809430	Offer was edited: ['49']	2025-07-09T11:27:23Z
809430	Offer was edited: ['49']	2025-07-10T10:46:28Z
809430	Offer was confirmed: ['49']	2025-07-10T10:46:28Z
809430	Applicant decision: ['None']	2025-08-22T10:58:25Z
809430	Offer was edited: ['Accepted']	2025-08-22T10:58:25Z
809430	Offer was confirmed: ['Accepted']	2025-08-22T10:58:26Z
809754	Application was flagged	2025-04-23T12:49:55Z
809754	Interview was evaluated	2025-04-25T09:14:01Z
809754	Applicant decision: ['None']	2025-05-09T16:22:19Z
809754	Offer was edited: ['Conditionally accepted']	2025-05-09T16:22:19Z
809754	Offer was confirmed: ['Conditionally accepted']	2025-05-09T16:22:19Z
809754	Invoice was issued	2025-05-09T16:22:19Z
809754	Invoice was edited	2025-05-09T16:22:45Z
809754	Offer was edited: ['Other']	2025-05-09T16:22:53Z
809754	Offer was edited: ['Other']	2025-05-09T16:22:58Z
809754	Invoice was collected	2025-05-10T13:20:44Z
809754	Invoice was collected in full	2025-05-10T13:20:44Z
809754	Interview was evaluated	2025-05-22T13:20:40Z
809754	Applicant decision: ['None']	2025-06-05T13:10:50Z
809754	Offer was edited: ['Scholarship']	2025-06-05T13:10:50Z
809754	Offer was confirmed: ['Scholarship']	2025-06-05T13:10:50Z
809754	Applicant decision: ['Final']	2025-06-05T13:12:00Z
809754	Offer was edited: ['Conditionally accepted']	2025-06-05T13:12:00Z
809754	Offer was confirmed: ['Conditionally accepted']	2025-06-05T13:12:00Z
809754	Offer was edited: ['49']	2025-06-05T13:35:44Z
809754	Offer was confirmed: ['49']	2025-06-05T13:35:44Z
809754	Applicant decision: ['None']	2025-08-21T16:25:36Z
809754	Offer was edited: ['Accepted']	2025-08-21T16:25:36Z
809754	Offer was confirmed: ['Accepted']	2025-08-21T16:25:37Z
809750	Application was flagged	2025-04-23T12:49:37Z
809750	Interview was evaluated	2025-04-29T10:51:22Z
809750	Applicant decision: ['None']	2025-05-09T16:10:14Z
809750	Offer was edited: ['Conditionally accepted']	2025-05-09T16:10:14Z
809750	Offer was confirmed: ['Conditionally accepted']	2025-05-09T16:10:14Z
809750	Invoice was issued	2025-05-09T16:10:15Z
809750	Invoice was edited	2025-05-09T16:10:28Z
809750	Offer was edited: ['Other']	2025-05-09T16:10:35Z
809750	Offer was confirmed: ['Other']	2025-05-09T16:10:35Z
809750	Interview was evaluated	2025-05-20T09:34:24Z
809750	Invoice was deleted	2025-05-31T10:35:18Z
809750	Applicant decision: ['None']	2025-05-31T12:51:54Z
809750	Offer was edited: ['Scholarship']	2025-05-31T12:51:54Z
809750	Offer was confirmed: ['Scholarship']	2025-05-31T12:51:54Z
809750	Applicant decision: ['None']	2025-05-31T12:53:41Z
809750	Offer was edited: ['Conditionally accepted']	2025-05-31T12:53:41Z
809750	Offer was confirmed: ['Conditionally accepted']	2025-05-31T12:53:42Z
809750	Invoice was issued	2025-05-31T12:54:14Z
809750	Invoice was issued	2025-05-31T12:54:44Z
809750	Application was flagged	2025-06-06T10:21:47Z
809750	Applicant decision: ['Final']	2025-06-20T16:12:37Z
809750	Offer was edited: ['49']	2025-06-20T16:12:37Z
809750	Offer was confirmed: ['49']	2025-06-20T16:12:37Z
809750	Applicant decision: ['Final']	2025-08-15T11:06:28Z
809750	Offer was edited: ['Accepted']	2025-08-15T11:06:28Z
809750	Offer was confirmed: ['Accepted']	2025-08-15T11:06:28Z
809844	Application was flagged	2025-04-23T12:49:20Z
809844	Interview was evaluated	2025-04-30T10:35:20Z
809844	Applicant decision: ['None']	2025-04-30T10:36:19Z
809844	Offer was edited: ['Conditionally accepted']	2025-04-30T10:36:19Z
809844	Offer was confirmed: ['Conditionally accepted']	2025-04-30T10:36:19Z
809844	Invoice was issued	2025-04-30T10:36:19Z
809844	Invoice was edited	2025-04-30T10:36:34Z
809844	Offer was edited: ['Other']	2025-04-30T10:36:42Z
809844	Offer was confirmed: ['Other']	2025-04-30T10:36:42Z
809844	Interview was evaluated	2025-05-14T08:59:15Z
809844	Applicant decision: ['None']	2025-05-30T15:51:36Z
809844	Offer was edited: ['Scholarship']	2025-05-30T15:51:37Z
809844	Offer was confirmed: ['Scholarship']	2025-05-30T15:51:37Z
809844	Invoice was deleted	2025-05-30T15:52:00Z
809844	Invoice was issued	2025-05-30T15:52:08Z
809844	Applicant decision: ['Final']	2025-05-30T15:53:17Z
809844	Offer was edited: ['Conditionally accepted']	2025-05-30T15:53:17Z
809844	Offer was confirmed: ['Conditionally accepted']	2025-05-30T15:53:17Z
809836	Application was flagged	2025-04-23T12:51:40Z
809836	Interview was evaluated	2025-04-30T15:26:13Z
809836	Applicant decision: ['None']	2025-04-30T15:27:02Z
809836	Offer was edited: ['Conditionally accepted']	2025-04-30T15:27:02Z
809836	Offer was confirmed: ['Conditionally accepted']	2025-04-30T15:27:02Z
809836	Invoice was issued	2025-04-30T15:27:02Z
809836	Invoice was edited	2025-04-30T15:27:14Z
809836	Offer was edited: ['Other']	2025-04-30T15:27:23Z
809836	Offer was confirmed: ['Other']	2025-04-30T15:27:23Z
809836	Interview was evaluated	2025-05-09T15:06:07Z
809836	Applicant decision: ['None']	2025-05-31T11:01:54Z
809836	Offer was edited: ['Scholarship']	2025-05-31T11:01:54Z
809836	Offer was confirmed: ['Scholarship']	2025-05-31T11:01:55Z
809836	Applicant decision: ['None']	2025-05-31T11:01:57Z
809836	Offer was edited: ['Scholarship']	2025-05-31T11:01:57Z
809836	Offer was confirmed: ['Scholarship']	2025-05-31T11:01:57Z
809836	Applicant decision: ['None']	2025-05-31T11:03:54Z
809836	Offer was edited: ['Conditionally accepted']	2025-05-31T11:03:54Z
809836	Offer was confirmed: ['Conditionally accepted']	2025-05-31T11:03:54Z
809836	Invoice was deleted	2025-05-31T11:04:02Z
809836	Invoice was issued	2025-05-31T11:04:16Z
806155	Application was flagged	2025-04-23T12:54:44Z
806155	Interview was evaluated	2025-05-01T10:41:21Z
806155	Applicant decision: ['None']	2025-05-01T10:42:46Z
806155	Offer was edited: ['Conditionally accepted']	2025-05-01T10:42:46Z
806155	Offer was confirmed: ['Conditionally accepted']	2025-05-01T10:42:46Z
806155	Invoice was issued	2025-05-01T10:42:46Z
806155	Invoice was edited	2025-05-01T10:42:59Z
806155	Offer was edited: ['Other']	2025-05-01T10:43:26Z
806155	Offer was confirmed: ['Other']	2025-05-01T10:43:26Z
806155	Interview was evaluated	2025-05-13T15:35:13Z
806155	Applicant decision: ['None']	2025-06-05T11:33:12Z
806155	Offer was edited: ['Scholarship']	2025-06-05T11:33:12Z
806155	Offer was confirmed: ['Scholarship']	2025-06-05T11:33:13Z
806155	Applicant decision: ['None']	2025-06-05T11:35:21Z
806155	Offer was edited: ['Conditionally accepted']	2025-06-05T11:35:21Z
806155	Offer was confirmed: ['Conditionally accepted']	2025-06-05T11:35:21Z
806155	Invoice was deleted	2025-06-05T11:35:29Z
806155	Invoice was issued	2025-06-05T11:35:35Z
806155	Invoice was issued	2025-06-05T11:35:56Z
806155	Invoice was edited	2025-06-07T09:17:48Z
806230	Application was flagged	2025-04-23T13:29:13Z
806230	Interview was evaluated	2025-04-26T10:51:12Z
806230	Applicant decision: ['None']	2025-04-26T10:59:53Z
806230	Offer was edited: ['Conditionally accepted']	2025-04-26T10:59:53Z
806230	Offer was confirmed: ['Conditionally accepted']	2025-04-26T10:59:53Z
806230	Invoice was issued	2025-04-26T10:59:53Z
806230	Invoice was edited	2025-04-26T11:00:07Z
806230	Offer was edited: ['Other']	2025-04-26T11:00:16Z
806230	Offer was confirmed: ['Other']	2025-04-26T11:00:17Z
806230	Application was flagged	2025-05-09T10:34:29Z
806230	Applicant decision: ['Final']	2025-05-15T14:26:54Z
806230	Offer was edited: ['49']	2025-05-15T14:26:54Z
806230	Offer was confirmed: ['49']	2025-05-15T14:26:54Z
806230	Interview was evaluated	2025-05-21T13:26:56Z
806230	Applicant decision: ['None']	2025-06-05T11:38:04Z
806230	Offer was edited: ['Scholarship']	2025-06-05T11:38:04Z
806230	Offer was confirmed: ['Scholarship']	2025-06-05T11:38:05Z
806230	Applicant decision: ['None']	2025-08-01T15:39:53Z
806230	Offer was edited: ['Accepted']	2025-08-01T15:39:53Z
806230	Offer was confirmed: ['Accepted']	2025-08-01T15:39:53Z
808819	Application was flagged	2025-03-25T13:03:58Z
808819	Interview was evaluated	2025-03-28T12:25:31Z
808819	Applicant decision: ['None']	2025-04-05T12:16:20Z
808819	Offer was edited: ['Conditionally accepted']	2025-04-05T12:16:20Z
808819	Offer was confirmed: ['Conditionally accepted']	2025-04-05T12:16:21Z
808819	Invoice was issued	2025-04-05T12:16:21Z
808819	Invoice was edited	2025-04-05T12:16:47Z
808819	Offer was edited: ['Other']	2025-04-05T12:17:31Z
808819	Interview was evaluated	2025-05-10T15:32:05Z
808819	Offer was edited: ['Failed']	2025-05-27T11:15:56Z
808819	Offer was confirmed: ['Failed']	2025-05-27T11:15:57Z
808819	Interview was evaluated	2025-05-29T20:12:23Z
808819	Applicant decision: ['None']	2025-06-13T16:20:31Z
808819	Offer was edited: ['Scholarship']	2025-06-13T16:20:31Z
808819	Offer was confirmed: ['Scholarship']	2025-06-13T16:20:31Z
808819	Invoice was deleted	2025-06-13T16:20:41Z
808819	Invoice was issued	2025-06-13T16:21:22Z
808819	Offer was edited: ['Other']	2025-06-19T14:46:32Z
808819	Applicant decision: ['Declined']	2025-07-26T10:55:26Z
808819	Offer was edited: ['49']	2025-07-26T10:55:26Z
808819	Offer was confirmed: ['49']	2025-07-26T10:55:26Z
808819	Applicant decision: ['Final']	2025-08-01T16:21:14Z
808819	Offer was edited: ['Accepted']	2025-08-01T16:21:14Z
808819	Offer was confirmed: ['Accepted']	2025-08-01T16:21:15Z
808329	Application was flagged	2025-03-13T15:57:18Z
808329	Application was un-flagged	2025-03-13T15:57:19Z
808329	Application was flagged	2025-03-13T15:57:21Z
808329	Interview was evaluated	2025-04-01T13:08:15Z
808329	Applicant decision: ['None']	2025-05-01T13:59:11Z
808329	Offer was edited: ['Conditionally accepted']	2025-05-01T13:59:11Z
808329	Offer was confirmed: ['Conditionally accepted']	2025-05-01T13:59:11Z
808329	Invoice was issued	2025-05-01T13:59:11Z
808329	Invoice was edited	2025-05-01T13:59:57Z
808329	Interview was evaluated	2025-05-08T14:36:42Z
808329	Applicant decision: ['None']	2025-05-31T10:56:35Z
808329	Offer was edited: ['Scholarship']	2025-05-31T10:56:35Z
808329	Offer was confirmed: ['Scholarship']	2025-05-31T10:56:36Z
808329	Applicant decision: ['None']	2025-05-31T10:57:35Z
808329	Offer was edited: ['Conditionally accepted']	2025-05-31T10:57:35Z
808329	Offer was confirmed: ['Conditionally accepted']	2025-05-31T10:57:35Z
808329	Invoice was deleted	2025-05-31T10:57:55Z
808329	Invoice was issued	2025-05-31T10:58:09Z
808329	Application was flagged	2025-06-04T09:18:56Z
808329	Applicant decision: ['Final']	2025-06-13T16:11:52Z
808329	Offer was edited: ['49']	2025-06-13T16:11:52Z
808329	Offer was confirmed: ['49']	2025-06-13T16:11:52Z
808329	Applicant decision: ['None']	2025-08-15T09:43:06Z
808329	Offer was edited: ['Accepted']	2025-08-15T09:43:06Z
808329	Offer was confirmed: ['Accepted']	2025-08-15T09:43:06Z
809453	Application was flagged	2025-04-23T16:00:40Z
809453	Application was flagged	2025-04-23T16:01:00Z
809453	Invoice was collected	2025-04-26T13:04:27Z
809453	Invoice was collected in full	2025-04-26T13:04:27Z
809453	Interview was evaluated	2025-04-30T08:24:34Z
809453	Interview was evaluated	2025-05-28T09:02:54Z
809453	Application was flagged	2025-06-03T14:52:38Z
809453	Applicant decision: ['None']	2025-06-05T12:50:55Z
809453	Offer was edited: ['Scholarship']	2025-06-05T12:50:55Z
809453	Offer was confirmed: ['Scholarship']	2025-06-05T12:50:55Z
809453	Applicant decision: ['None']	2025-06-05T12:53:03Z
809453	Offer was edited: ['Conditionally accepted']	2025-06-05T12:53:03Z
809453	Offer was confirmed: ['Conditionally accepted']	2025-06-05T12:53:03Z
809453	Invoice was issued	2025-06-05T12:53:03Z
809453	Invoice was deleted	2025-06-05T12:53:11Z
809453	Invoice was issued	2025-06-05T12:53:21Z
809453	Offer was edited: ['Other']	2025-06-05T12:53:31Z
809453	Offer was confirmed: ['Other']	2025-06-05T12:53:31Z
809453	Application was flagged	2025-06-07T12:54:04Z
809453	Applicant decision: ['Final']	2025-08-13T10:23:07Z
809453	Offer was edited: ['Accepted']	2025-08-13T10:23:07Z
809453	Offer was confirmed: ['Accepted']	2025-08-13T10:23:07Z
809798	Application was flagged	2025-04-23T15:48:07Z
809798	Application was flagged	2025-04-23T15:48:14Z
809798	Invoice was collected	2025-04-26T13:03:22Z
809798	Invoice was collected in full	2025-04-26T13:03:22Z
809798	Interview was evaluated	2025-04-30T08:23:39Z
809798	Interview was evaluated	2025-05-22T15:25:58Z
809798	Application was flagged	2025-06-03T14:50:42Z
809798	Applicant decision: ['None']	2025-06-05T12:58:17Z
809798	Offer was edited: ['Scholarship']	2025-06-05T12:58:17Z
809798	Offer was confirmed: ['Scholarship']	2025-06-05T12:58:17Z
809798	Applicant decision: ['None']	2025-06-05T12:59:28Z
809798	Offer was edited: ['Conditionally accepted']	2025-06-05T12:59:28Z
809798	Offer was confirmed: ['Conditionally accepted']	2025-06-05T12:59:28Z
809798	Invoice was issued	2025-06-05T12:59:28Z
809798	Invoice was deleted	2025-06-05T12:59:49Z
809798	Invoice was issued	2025-06-05T12:59:57Z
809798	Invoice was collected	2025-06-06T12:35:15Z
809798	Invoice was collected in full	2025-06-06T12:35:15Z
809798	Applicant decision: ['Final']	2025-06-20T16:25:23Z
809798	Offer was edited: ['49']	2025-06-20T16:25:23Z
809798	Offer was confirmed: ['49']	2025-06-20T16:25:23Z
809798	Applicant decision: ['Final']	2025-08-13T10:20:09Z
809798	Offer was edited: ['Accepted']	2025-08-13T10:20:09Z
809798	Offer was confirmed: ['Accepted']	2025-08-13T10:20:09Z
809932	Application was flagged	2025-04-23T11:06:39Z
